Date, Close/Last, Volume, Open, High, Low
04/15/2020, $374.38, 1251454, $376.75, $376.75, $367.36
04/14/2020, $380.03, 1653386, $378.29, $386.58, $374.5509
04/13/2020, $369.94, 1237455, $370.95, $373.9899, $365.71
04/09/2020, $371, 1629395, $369.74, $376.325, $363.52
04/08/2020, $361.41, 1447756, $361.37, $372.65, $358.59
04/07/2020, $355.28, 2101620, $380.5, $381.9, $354.05
04/06/2020, $367.95, 2525354, $361.91, $369.95, $361.91
04/03/2020, $350.5, 2113228, $352, $355.84, $349.61
04/02/2020, $353.96, 1896286, $335.25, $354, $334.545
04/01/2020, $338.52, 2082566, $324.83, $340.99, $322.0101
03/31/2020, $338.95, 2169674, $344.81, $346.9173, $336.24
03/30/2020, $348.85, 1756317, $351.49, $356.48, $342.2794
03/27/2020, $348.38, 3562975, $339.99, $365.09, $335.01
03/26/2020, $350.33, 2681161, $326, $352.1, $324.0116
03/25/2020, $319.67, 2950520, $300.62, $329.82, $293.61
03/24/2020, $288.91, 3088354, $287.97, $294.99, $280.241
03/23/2020, $276.8, 3172086, $285, $287.06, $266.11
03/20/2020, $291.22, 3040087, $314.2, $315.84, $288.21
03/19/2020, $314.2, 2836722, $333.41, $334.1, $311.205
03/18/2020, $333.41, 3589404, $296.92, $339.23, $296.04
03/17/2020, $318.83, 2626228, $293, $319.47, $287.15
03/16/2020, $287.94, 2351530, $295.01, $311.5615, $285
03/13/2020, $328.59, 3877770, $327.33, $329.16, $303.1
03/12/2020, $311.38, 3892633, $322, $339.42, $310.08
03/11/2020, $356.93, 1951466, $356.57, $365.89, $349.79
03/10/2020, $367.17, 2505975, $363.01, $367.67, $350.6
03/09/2020, $352.03, 3086724, $359.98, $369.47, $351.27
03/06/2020, $382.47, 2161008, $372.09, $384.95, $368.4631
03/05/2020, $384.7, 1967451, $393.92, $397.85, $382.22
03/04/2020, $402.03, 2025808, $385.42, $402.96, $383.185
03/03/2020, $377.4, 2531514, $384.84, $396.9, $376.59
03/02/2020, $381.35, 2859878, $371.35, $383.1, $360.57
02/28/2020, $369.87, 3364321, $369.86, $373.82, $360.34
02/27/2020, $384.6, 1894460, $393.52, $399.01, $384.33
02/26/2020, $400.9, 1678581, $400.31, $410.52, $399.34
02/25/2020, $400.36, 1600075, $420.1, $421.73, $397.53
02/24/2020, $419.35, 1117774, $419.65, $424.2, $418.1
02/21/2020, $427.8, 1055800, $425.12, $428.72, $422.66
02/20/2020, $425.97, 1190564, $433.63, $434.99, $424.1562
02/19/2020, $434.48, 787230, $437, $438.27, $434.4
02/18/2020, $435.55, 776502, $437, $438.95, $434.01
02/14/2020, $437.85, 948768, $434.98, $438.47, $434.31
02/13/2020, $434.7, 800252, $435.8, $439.29, $434.3
02/12/2020, $436.6, 1419473, $439.01, $439.69, $434.6
02/11/2020, $439.85, 744852, $441.36, $442.5322, $437.47
02/10/2020, $439.76, 870420, $439, $441.52, $437.82
02/07/2020, $439.17, 883793, $438.14, $441.21, $437.29
02/06/2020, $438.97, 833514, $435.56, $439.86, $434.9131
02/05/2020, $435.19, 1251783, $433.32, $435.92, $429.02
02/04/2020, $430.78, 1216258, $425.46, $431.99, $425.46
02/03/2020, $423.86, 1795998, $429.52, $430, $422.04
01/31/2020, $428.12, 1650244, $434.93, $435.57, $426.1
01/30/2020, $435.9, 1210345, $430.344, $437, $430.34
01/29/2020, $433.84, 1268927, $437.72, $437.99, $431.02
01/28/2020, $437.17, 2063247, $434.77, $438.99, $426.27
01/27/2020, $432.38, 1737869, $425.86, $434.45, $425.86
01/24/2020, $432.5, 1087074, $429.9, $433.522, $429.69
01/23/2020, $428.78, 978485, $424.06, $429.56, $424
01/22/2020, $424.42, 919041, $427.5, $428.4976, $424.36
01/21/2020, $426.15, 1071421, $424.42, $427.78, $423.01
01/17/2020, $425.66, 1195646, $426.61, $427.54, $424.5
01/16/2020, $425.7, 1085567, $423.13, $425.74, $420.67
01/15/2020, $420.95, 833271, $416.42, $421.48, $416.14
