Date, Close/Last, Volume, Open, High, Low
6/24/2020,$960.85 ,10959590,$994.11 ,"$1,000.88 ",$953.14 
6/23/2020,"$1,001.78 ",6365271,$998.88 ,"$1,012 ",$994.01 
6/22/2020,$994.32 ,6362350,$999.95 ,"$1,008.88 ",$990.02 
6/19/2020,"$1,000.90 ",8679749,"$1,012.78 ","$1,015.97 ",$991.34 
6/18/2020,"$1,003.96 ",9751936,"$1,003 ","$1,019.20 ",$994.47 
6/17/2020,$991.79 ,9890800,$987.71 ,"$1,005 ",$982.57 
6/16/2020,$982.13 ,14051080,"$1,011.85 ","$1,012.88 ",$962.39 
6/15/2020,$990.90 ,15697180,$917.79 ,$998.84 ,$908.50 
6/12/2020,$935.28 ,16763370,$980 ,$987.98 ,$912.60 
6/11/2020,$972.84 ,15916480,$990.20 ,"$1,018.96 ",$972 
6/10/2020,"$1,025.05 ",18563410,$991.88 ,"$1,027.48 ",$982.50 
6/9/2020,$940.67 ,11388150,$940.01 ,$954.44 ,$923.93 
6/8/2020,$949.92 ,14174730,$919 ,$950 ,$909.16 
6/5/2020,$885.66 ,7811917,$877.84 ,$886.52 ,$866.20 
6/4/2020,$864.38 ,8887713,$889.88 ,$895.75 ,$858.44 
6/3/2020,$882.96 ,7949469,$888.12 ,$897.94 ,$880.10 
6/2/2020,$881.56 ,13565600,$894.70 ,$908.66 ,$871 
6/1/2020,$898.10 ,15085300,$858 ,$899 ,$854.10 
5/29/2020,$835 ,11812490,$808.75 ,$835 ,$804.21 
5/28/2020,$805.81 ,7275774,$813.51 ,$824.75 ,$801.69 
5/27/2020,$820.23 ,11549530,$820.86 ,$827.71 ,$785 
5/26/2020,$818.87 ,8089736,$834.50 ,$834.60 ,$815.71 
5/22/2020,$816.88 ,9987475,$822.17 ,$831.78 ,$812 
5/21/2020,$827.60 ,12254580,$816 ,$832.50 ,$796 
5/20/2020,$815.56 ,7309271,$820.50 ,$826 ,$811.80 
5/19/2020,$808.01 ,9636522,$815.17 ,$822.07 ,$806.08 
5/18/2020,$813.63 ,11698100,$827.78 ,$834.72 ,$803.88 
5/15/2020,$799.17 ,10518430,$790.35 ,$805.05 ,$786.55 
5/14/2020,$803.33 ,13682190,$780 ,$803.36 ,$764 
5/13/2020,$790.96 ,19065490,$820.83 ,$826 ,$763.30 
5/12/2020,$809.41 ,15906910,$827 ,$843.29 ,$808 
5/11/2020,$811.29 ,16519600,$790.51 ,$824 ,$785 
5/8/2020,$819.42 ,16130090,$793.77 ,$824 ,$787.01 
5/7/2020,$780.04 ,11527690,$777.21 ,$796.40 ,$772.35 
5/6/2020,$782.58 ,11123230,$776.50 ,$789.80 ,$761.11 
5/5/2020,$768.21 ,16991660,$789.79 ,$798.92 ,$762.18 
5/4/2020,$761.19 ,19237090,$701 ,$762 ,$698 
5/1/2020,$701.32 ,32531810,$755 ,$772.77 ,$683.04 
4/30/2020,$781.88 ,28471850,$855.19 ,$869.82 ,$763.50 
4/29/2020,$800.51 ,16215980,$790.17 ,$803.20 ,$783.16 
4/28/2020,$769.12 ,15221960,$795.64 ,$805 ,$756.69 
4/27/2020,$798.75 ,20681440,$737.61 ,$799.49 ,$735 
4/24/2020,$725.15 ,13237610,$710.81 ,$730.73 ,$698.18 
4/23/2020,$705.63 ,13236700,$727.60 ,$734 ,$703.13 
4/22/2020,$732.11 ,14224830,$703.98 ,$734 ,$688.71 
4/21/2020,$686.72 ,20209090,$730.12 ,$753.33 ,$673.79 
4/20/2020,$746.36 ,14746370,$732.70 ,$765.57 ,$712.21 
4/17/2020,$753.89 ,13128230,$772.28 ,$774.95 ,$747.66 
4/16/2020,$745.21 ,20657860,$716.94 ,$759.45 ,$706.72 
4/15/2020,$729.83 ,23577000,$742 ,$753.13 ,$710 
4/14/2020,$709.89 ,30576510,$698.97 ,$741.88 ,$692.43 
4/13/2020,$650.95 ,22475420,$590.16 ,$652 ,$580.53 
4/9/2020,$573 ,13650000,$562.09 ,$575.18 ,$557.11 
4/8/2020,$548.84 ,12656020,$554.20 ,$557.21 ,$533.33 
4/7/2020,$545.45 ,17919780,$545 ,$565 ,$532.34 
4/6/2020,$516.24 ,14901840,$511.20 ,$521 ,$497.96 
4/3/2020,$480.01 ,22562080,$509.50 ,$515.49 ,$468.39 
4/2/2020,$454.47 ,19858430,$481.03 ,$494.26 ,$446.40 
4/1/2020,$481.56 ,13353180,$504 ,$513.95 ,$475.10 
3/31/2020,$524 ,17771490,$501.25 ,$542.96 ,$497 
3/30/2020,$502.13 ,11998070,$510.26 ,$516.65 ,$491.23 
3/27/2020,$514.36 ,14377410,$505 ,$525.80 ,$494.03 
3/26/2020,$528.16 ,17422080,$547.39 ,$560 ,$512.25 
3/25/2020,$539.25 ,21222750,$545.25 ,$557 ,$511.11 
3/24/2020,$505 ,22895170,$477.30 ,$513.69 ,$474 
3/23/2020,$434.29 ,16454550,$433.60 ,$442.00 ,$410.50 
3/20/2020,$427.53 ,28285500,$438.20 ,$477 ,$425.79 
3/19/2020,$427.64 ,30195460,$374.70 ,$452 ,$358.46 
3/18/2020,$361.22 ,23786160,$389 ,$404.86 ,$350.51 
3/17/2020,$430.20 ,23994580,$440.01 ,$471.85 ,$396 
3/16/2020,$445.07 ,20489460,$469.50 ,$494.87 ,$442.17 
3/13/2020,$546.62 ,22640250,$595 ,$607.57 ,$502 
3/12/2020,$560.55 ,18909050,$580.89 ,$594.50 ,$546.25 
